instance,method,plan_obj,time_s,oos_mean,oos_std,oos_cv,oos_p50,oos_p95,disappointment_rate,disappointment_mean,budget_exceed_rate,service_fail_rate,unmet_mean_t,recycled_mean_t
batch1,DRO(0.20),1018943349.2876163,13.364767074584961,796656554.2491711,130107548.2233335,0.16331698713752077,783264943.1931236,1109930489.425086,0.11111111111111108,10109682.237496639,0.8888888888888885,0.0,0.0,4181519.9228478293
batch1,ROB,1034448679.128371,1.1505012512207031,779472165.1316117,134024001.74464299,0.171941998367592,764508334.7621527,1105405989.368319,0.11111111111111108,7884145.582216446,0.8888888888888885,0.0,0.0,4206110.081774602
batch2,DET,718322378.2642444,0.13526296615600586,934087699.4191132,505207785.66630876,0.5408569088111164,736761527.0017182,2290428130.794251,0.5470953186689226,253596633.0297712,0.5470953186689226,0.5031020868584319,512496.14454441046,3506789.036837907
batch2,SAA,831860312.9525739,13.089423179626465,824389211.4427273,142315064.23127607,0.17263091541702338,808719814.7887924,1164694386.212672,0.374506486181613,41324437.416508876,0.8821206993795823,0.0,0.0,3866433.5386948707
batch2,DRO(0.05),847765204.5237023,13.26669192314148,830209182.1296184,134713258.510049,0.1622642358212518,817601807.9318395,1145593708.4368799,0.23293852227862372,35683868.012852356,0.8888888888888885,0.0,0.0,3824983.4389730827
batch2,DRO(0.10),888195937.2275681,13.302587270736694,835343261.2795258,133275771.10736142,0.15954611389719964,823128948.0884534,1146480539.1550467,0.134799774393683,28953267.097471308,0.8888888888888885,0.0,0.0,3804324.0728465477
batch2,DRO(0.20),1065313864.3447511,13.274547100067139,837543261.2795256,133275771.10736142,0.1591270293354809,825328948.0884534,1148680539.1550467,0.11111111111111108,9262963.867810618,0.8888888888888885,0.0,0.0,3804324.0728465477
batch2,ROB,1073302334.7178198,1.139892816543579,822724832.8819222,136642551.401397,0.1660853616424241,809487906.6703494,1143938788.8070848,0.11111111111111108,7848494.898807218,0.8821206993795823,0.0,0.0,3866335.749778962
batch3,DET,693184847.594713,0.1447772979736328,873856328.5814002,476326873.8746155,0.5450860264957679,716039323.9556712,2162264688.129273,0.5707839819514945,219622219.11253595,0.5707839819514945,0.4388042865200224,391000.7118868055,3674720.3807160202
batch3,SAA,807413563.873954,13.388536930084229,801240796.316087,161848945.0885866,0.20199788357348905,787219150.4207526,1198428301.0769355,0.28369994359842066,48527681.031721145,0.8652002256063167,0.0,0.0,3890427.086793986
batch3,DRO(0.05),826327333.526418,13.336651086807251,809407349.6240594,153090721.68222067,0.18913927795852828,798027015.2985759,1179588522.0573442,0.23970671178792996,42880658.99256452,0.8821206993795823,0.0,0.0,3860526.457604197
batch3,DRO(0.10),870588046.7395378,13.50549030303955,815444793.6123431,152335388.13651797,0.18681263198908493,804349380.7557317,1183422060.7586768,0.1517202481669486,35294637.00839446,0.8821206993795823,0.0,0.0,3844657.187818304
batch3,DRO(0.20),1060026620.0607435,13.952935218811035,817644793.6123431,152335388.13651797,0.18630998365867701,806549380.7557317,1185622060.7586768,0.11111111111111108,13955048.96643703,0.8821206993795823,0.0,0.0,3844657.187818304
batch3,ROB,1097042082.0267224,1.1922900676727295,796654562.2405005,159607483.15958723,0.20034716516366807,783132411.768236,1187278138.7688148,0.11111111111111108,10026228.52689915,0.8652002256063167,0.11111111111111108,3411.1111111111422,3906866.878810661
batch4,DET,740705765.0564799,0.14652490615844727,918793039.4452969,486573346.88028103,0.5295788343956546,752439328.083971,2233647615.5746746,0.5504794134235758,220984347.39437863,0.5504794134235758,0.43203609701071616,424942.57428983174,3572015.873136425
batch4,SAA,859295638.4372505,13.546982288360596,848272751.3443526,150342540.85769868,0.17723372655721176,835369562.0881124,1193650947.8984046,0.37789058093626615,42235191.26894813,0.8787366046249292,0.0,0.0,3870967.921320541
batch4,DRO(0.05),873060838.0200732,13.657094240188599,850496203.3378716,145449252.81306937,0.17101693369380935,839703063.5350063,1179806518.8260067,0.3271291596164692,36686560.06659587,0.8787366046249292,0.0,0.0,3850052.888640802
batch4,DRO(0.10),917703933.1703881,13.724308013916016,857549064.8366724,145807834.5469513,0.17002856224293317,846245170.9863061,1188535787.1047623,0.13141567963902986,30365666.85052659,0.8821206993795823,0.0,0.0,3808222.823281325
batch4,DRO(0.20),1103398414.2650142,13.78047800064087,864586979.5716776,144987552.2286613,0.1676957387219608,853645170.9863061,1192678870.8194375,0.11111111111111108,9920050.728269257,0.8855047941342353,0.0,0.0,3808222.8232813245
batch4,ROB,1116999653.5401335,1.15004301071167,844078209.6491427,149362389.91396758,0.17695325884085186,832121995.371845,1185673582.437839,0.11111111111111108,7630436.544189503,0.8787366046249292,0.11111111111111108,3411.1111111110163,3887869.8821048546
batch5,DET,689187417.584057,0.13641881942749023,876784888.8041425,479026198.79186136,0.5463440404923162,707817235.6034083,2176111502.194401,0.5504794134235758,224490936.8617372,0.5504794134235758,0.4624929498025943,411513.6928883093,3657839.4470424894
batch5,SAA,807584520.3944237,13.304873943328857,798566233.2246715,144237573.62860522,0.18062067694267872,784809162.7396581,1144833155.7324457,0.37789058093626615,41553172.81008427,0.8787366046249292,0.0,0.0,3892936.343506924
batch5,DRO(0.05),820380788.5253674,13.511933088302612,800106348.3313031,138887379.98709843,0.17358614923723714,788622687.0319927,1130341106.432547,0.20586576424139869,36481213.448468216,0.8888888888888885,0.0,0.0,3869469.864487465
batch5,DRO(0.10),865177292.8127298,13.51553988456726,809438348.6943702,136644653.06824258,0.16881415772881453,799257157.5932122,1132851126.860559,0.134799774393683,29940514.346173164,0.8888888888888885,0.0,0.0,3818459.221532292
batch5,DRO(0.20),1057236095.4989562,13.412751197814941,817262229.7076259,138323638.4234117,0.16925245459207963,806054295.7328825,1146173399.7898965,0.11111111111111108,9881922.698993362,0.8888888888888885,0.0,0.0,3814295.0700938664
